drink_code,drink_name,mgroup_code,drink_price,drink_mliter,drink_descr
1,Соджу,1,450,360,Традиционная корейская водка
2,Пиво HITE,1,230,400,Классическое корейское пиво
3,Мохито алкогольный,1,300,115,"Бакарди, мята, лайм, тоник"
4,Морс домашний,2,68,200,Ягодный морс
5,Чай имбирный,2,61,350,Приготовлен из корня свежего имбиря
6,Кофе Lets Be Latte,2,100,180,Корейский бренд кофе
7,Вода BonAqua негазированная,2,120,330,Негазированная  питьевая вода
8,Вода BonAqua газированная,2,120,330,Газированная питьевая вода
9,Sprite,2,120,330,Сильногазированный напиток
10,Fanta,2,120,330,Сильногазированный напиток
11,Coca-Cola,2,120,330,Сильногазированный напиток
12,Сок Rich мультифруктовый,2,375,200,Мультифруктовый сок премиум-класса
13,Свежевыжатый сок из моркови,2,30,200,Натуральный сок
14,Свежевыжатый сок из яблока,2,94,200,Натуральный сок
15,Свежевыжатый сок из апельсина,2,94,200,Натуральный сок
